c1,dp1a,count
http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P90_has_value,139900
http://erlangen-crm.org/current/E53_Place,http://www.w3.org/2000/01/rdf-schema#label,85454
http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,63001
http://erlangen-crm.org/current/E42_Identifier,http://www.w3.org/2000/01/rdf-schema#label,50121
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P3_has_note,49386
http://erlangen-crm.org/current/E35_Title,http://www.w3.org/2000/01/rdf-schema#label,41720
http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82a_begin_of_the_begin,41720
http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82b_end_of_the_end,41720
http://erlangen-crm.org/current/E8_Acquisition,http://erlangen-crm.org/current/P3_has_note,40929
http://erlangen-crm.org/current/E29_Design_or_Procedure,http://erlangen-crm.org/current/P3_has_note,40597
http://erlangen-crm.org/current/E52_Time-Span,http://www.w3.org/2000/01/rdf-schema#label,37006
http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P3_has_note,35441
http://erlangen-crm.org/current/E55_Type,http://www.w3.org/2000/01/rdf-schema#label,33639
http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,http://www.w3.org/2000/01/rdf-schema#label,31865
http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P3_has_note,31055
http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82_at_some_time_within,28972
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,8344
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,8244
http://erlangen-crm.org/current/E73_Information_Object,http://erlangen-crm.org/current/P3_has_note,4785
http://erlangen-crm.org/current/E48_Place_Name,http://www.w3.org/2000/01/rdf-schema#label,4669
http://erlangen-crm.org/current/E53_Place,http://erlangen-crm.org/current/P3_has_note,3576
http://erlangen-crm.org/current/E33_Linguistic_Object,http://erlangen-crm.org/current/P3_has_note,3219
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,1156
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,460
http://erlangen-crm.org/current/E74_Group,http://www.w3.org/2000/01/rdf-schema#label,68
