c1,dp1a,dp1b,count
http://erlangen-crm.org/current/E55_Type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#label,280981424
http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P90_has_value,http://erlangen-crm.org/current/P90_has_value,110332
http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#label,27036
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P3_has_note,25444
http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82_at_some_time_within,http://erlangen-crm.org/current/P82_at_some_time_within,21302
http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82b_end_of_the_end,http://www.w3.org/2000/01/rdf-schema#label,16541
http://erlangen-crm.org/current/E52_Time-Span,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P82b_end_of_the_end,16541
http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82a_begin_of_the_begin,http://www.w3.org/2000/01/rdf-schema#label,16539
http://erlangen-crm.org/current/E52_Time-Span,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P82a_begin_of_the_begin,16539
http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82b_end_of_the_end,http://erlangen-crm.org/current/P82a_begin_of_the_begin,11133
http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82a_begin_of_the_begin,http://erlangen-crm.org/current/P82b_end_of_the_end,11133
http://erlangen-crm.org/current/E53_Place,http://erlangen-crm.org/current/P3_has_note,http://www.w3.org/2000/01/rdf-schema#label,3576
http://erlangen-crm.org/current/E53_Place,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P3_has_note,3576
http://erlangen-crm.org/current/E73_Information_Object,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P3_has_note,1750
http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#label,756
http://erlangen-crm.org/current/E74_Group,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#label,12
http://erlangen-crm.org/current/E48_Place_Name,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#label,4
http://erlangen-crm.org/current/E53_Place,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#label,2
