c1,dp1a,op12,c2,count
http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P90_has_value,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,139900
http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P90_has_value,http://erlangen-crm.org/current/P91_has_unit,http://erlangen-crm.org/current/E58_Measurement_Unit,139900
http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,77810
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E39_Actor,73494
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E21_Person,70701
http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P106_is_composed_of,http://erlangen-crm.org/current/E82_Actor_Appellation,46711
http://erlangen-crm.org/current/E42_Identifier,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,41720
http://erlangen-crm.org/current/E8_Acquisition,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P22_transferred_title_to,http://erlangen-crm.org/current/E40_Legal_Body,40929
http://erlangen-crm.org/current/E55_Type,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P127_has_broader_term,http://erlangen-crm.org/current/E55_Type,33550
http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,19818
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P131_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,12750
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P131_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,12750
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E40_Legal_Body,11501
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,8804
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,8662
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,8286
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,8244
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P107i_is_current_or_former_member_of,http://erlangen-crm.org/current/E74_Group,7703
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P107i_is_current_or_former_member_of,http://erlangen-crm.org/current/E74_Group,7693
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P98i_was_born,http://erlangen-crm.org/current/E67_Birth,7436
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P98i_was_born,http://erlangen-crm.org/current/E67_Birth,7436
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P100i_died_in,http://erlangen-crm.org/current/E69_Death,7424
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P100i_died_in,http://erlangen-crm.org/current/E69_Death,7424
http://erlangen-crm.org/current/E73_Information_Object,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,6527
http://erlangen-crm.org/current/E73_Information_Object,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P129_is_about,http://erlangen-crm.org/current/E22_Man-Made_Object,4785
http://erlangen-crm.org/current/E33_Linguistic_Object,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,3219
http://erlangen-crm.org/current/E33_Linguistic_Object,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P129_is_about,http://erlangen-crm.org/current/E21_Person,3219
http://erlangen-crm.org/current/E33_Linguistic_Object,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P129_is_about,http://erlangen-crm.org/current/E39_Actor,3214
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,1343
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E21_Person,1161
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E39_Actor,1161
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,920
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,460
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P107i_is_current_or_former_member_of,http://erlangen-crm.org/current/E74_Group,184
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E22_Man-Made_Object,182
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,182
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,182
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P92i_was_brought_into_existence_by,http://erlangen-crm.org/current/E63_Beginning_of_Existence,128
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P92i_was_brought_into_existence_by,http://erlangen-crm.org/current/E63_Beginning_of_Existence,128
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P92i_was_brought_into_existence_by,http://erlangen-crm.org/current/E63_Beginning_of_Existence,128
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P93i_was_taken_out_of_existence_by,http://erlangen-crm.org/current/E64_End_of_Existence,127
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P93i_was_taken_out_of_existence_by,http://erlangen-crm.org/current/E64_End_of_Existence,127
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P93i_was_taken_out_of_existence_by,http://erlangen-crm.org/current/E64_End_of_Existence,127
