c1,op12,c2,dp2a,count
http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P127_has_broader_term,http://erlangen-crm.org/current/E55_Type,http://www.w3.org/2000/01/rdf-schema#label,280947909
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,http://www.w3.org/2000/01/rdf-schema#label,337639
http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,http://www.w3.org/2000/01/rdf-schema#label,238296
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P43_has_dimension,http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P90_has_value,139286
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E53_Place,http://www.w3.org/2000/01/rdf-schema#label,85454
http://erlangen-crm.org/current/E82_Actor_Appellation,http://erlangen-crm.org/current/P106_is_composed_of,http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,58467
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P3_has_note,49386
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,49012
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,48270
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,http://www.w3.org/2000/01/rdf-schema#label,41720
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E35_Title,http://www.w3.org/2000/01/rdf-schema#label,41720
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P4_has_time-span,http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82a_begin_of_the_begin,41720
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P4_has_time-span,http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82b_end_of_the_end,41720
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E8_Acquisition,http://erlangen-crm.org/current/P3_has_note,40929
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P33_used_specific_technique,http://erlangen-crm.org/current/E29_Design_or_Procedure,http://erlangen-crm.org/current/P3_has_note,40597
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P4_has_time-span,http://erlangen-crm.org/current/E52_Time-Span,http://www.w3.org/2000/01/rdf-schema#label,37006
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P43_has_dimension,http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P3_has_note,35441
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation,http://www.w3.org/2000/01/rdf-schema#label,32621
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P3_has_note,21877
http://erlangen-crm.org/current/E67_Birth,http://erlangen-crm.org/current/P4_has_time-span,http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82_at_some_time_within,16955
http://erlangen-crm.org/current/E21_Person,http://erlangen-crm.org/current/P131_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,15174
http://erlangen-crm.org/current/E21_Person,http://erlangen-crm.org/current/P107i_is_current_or_former_member_of,http://erlangen-crm.org/current/E74_Group,http://www.w3.org/2000/01/rdf-schema#label,15075
http://erlangen-crm.org/current/E39_Actor,http://erlangen-crm.org/current/P107i_is_current_or_former_member_of,http://erlangen-crm.org/current/E74_Group,http://www.w3.org/2000/01/rdf-schema#label,14911
http://erlangen-crm.org/current/E39_Actor,http://erlangen-crm.org/current/P131_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,14482
http://erlangen-crm.org/current/E69_Death,http://erlangen-crm.org/current/P4_has_time-span,http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P82_at_some_time_within,11766
http://erlangen-crm.org/current/E39_Actor,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,8804
http://erlangen-crm.org/current/E21_Person,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,8670
http://erlangen-crm.org/current/E21_Person,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,http://www.w3.org/2000/01/rdf-schema#label,8357
http://erlangen-crm.org/current/E39_Actor,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,http://www.w3.org/2000/01/rdf-schema#label,8286
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P3_has_note,6770
http://erlangen-crm.org/current/E82_Actor_Appellation,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,http://www.w3.org/2000/01/rdf-schema#label,5619
http://erlangen-crm.org/current/E73_Information_Object,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,http://www.w3.org/2000/01/rdf-schema#label,4781
http://erlangen-crm.org/current/E53_Place,http://erlangen-crm.org/current/P87_is_identified_by,http://erlangen-crm.org/current/E48_Place_Name,http://www.w3.org/2000/01/rdf-schema#label,4669
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,3653
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E53_Place,http://erlangen-crm.org/current/P3_has_note,3576
http://erlangen-crm.org/current/E33_Linguistic_Object,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,http://www.w3.org/2000/01/rdf-schema#label,3219
http://erlangen-crm.org/current/E33_Linguistic_Object,http://erlangen-crm.org/current/P129_is_about,http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,3214
http://erlangen-crm.org/current/E33_Linguistic_Object,http://erlangen-crm.org/current/P129_is_about,http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,3214
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,1251
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,1251
http://erlangen-crm.org/current/E40_Legal_Body,http://erlangen-crm.org/current/P1_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,http://www.w3.org/2000/01/rdf-schema#label,930
